model,variable,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV
model_a,acc_open_past_24mths,"[2.50, 3.50)",118624,0.14303163301601848,99050,19574,0.16500876719719448,0.13566330778300584,0.002520695552476067
model_a,acc_open_past_24mths,"[3.50, 4.50)",111580,0.13453828577629603,91219,20361,0.18247893887793512,0.013882591967586233,2.5815609348796352e-05
model_a,acc_open_past_24mths,"[4.50, 5.50)",94509,0.1139548203121703,75816,18693,0.19779068660127608,-0.08559908042022757,0.0008576029896555564
model_a,acc_open_past_24mths,"[5.50, 6.50)",73587,0.08872798741190444,57863,15724,0.2136790465707258,-0.18286937042228657,0.0031395287886235327
model_a,acc_open_past_24mths,"[6.50, 7.50)",53849,0.06492876994773046,41526,12323,0.22884361826589167,-0.27090700822613134,0.005175848545488153
model_a,acc_open_past_24mths,"[7.50, 9.50)",62320,0.07514273139970218,46748,15572,0.2498716302952503,-0.38646226603522527,0.012602675527037182
model_a,acc_open_past_24mths,"[9.50, inf)",47502,0.0572758348355047,33854,13648,0.28731421834870113,-0.5772951403403445,0.022575892556817512
model_a,acc_open_past_24mths,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,acc_open_past_24mths,Missing,50030,0.06032398671256579,42383,7647,0.15284829102538477,0.22667461402237654,0.002881191404551155
model_a,acc_open_past_24mths,,829355,1.0,676290,153065,0.18455908507213437,,0.08219472121721759
model_a,bc_util,"(-inf, 20.85)",65865,0.0794171374140145,56161,9704,0.14733166325058833,0.26992508382715674,0.005302644438014412
model_a,bc_util,"[20.85, 32.65)",56432,0.06804323842021812,47893,8539,0.1513148568188262,0.23856614066725057,0.0035857673499443228
model_a,bc_util,"[32.65, 43.95)",71043,0.08566054343435561,59497,11546,0.16252128992300438,0.153827524115709,0.0019295457934839328
model_a,bc_util,"[43.95, 53.55)",71279,0.08594510191654961,59059,12220,0.17143899325186943,0.08970368013742713,0.000672109971774542
model_a,bc_util,"[53.55, 63.95)",86660,0.10449083926665903,70931,15729,0.18150242326332794,0.02044212090506181,4.338340485703923e-05
model_a,bc_util,"[63.95, 72.85)",81386,0.09813168064339155,66230,15156,0.18622367483350946,-0.011022271017392837,1.1963537469371652e-05
model_a,bc_util,"[72.85, 87.65)",151706,0.18292046228695794,122134,29572,0.19492966659196076,-0.06746847542052836,0.0008504296032874054
model_a,bc_util,"[87.65, 92.95)",64404,0.0776555274882288,51134,13270,0.20604310291286254,-0.13681552071234004,0.0015166847465962598
model_a,bc_util,"[92.95, 97.95)",76620,0.09238504621060944,59689,16931,0.22097363612633777,-0.22575782268879552,0.005046514451325833
model_a,bc_util,"[97.95, inf)",45969,0.05542741045752422,34843,11126,0.2420326741934782,-0.3441917658118716,0.0072856022426038124
model_a,bc_util,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,bc_util,Missing,57991,0.06992301246149116,48719,9272,0.1598868789984653,0.17331068134405436,0.0019866690084195744
model_a,bc_util,,829355,1.0,676290,153065,0.18455908507213437,,0.028231314547776505
model_a,tot_cur_bal,"(-inf, 86768.50)",395788,0.47722386673981587,313693,82095,0.20742164997422863,-0.14522162298729113,0.010528111256336613
model_a,tot_cur_bal,"[86768.50, 115996.50)",44233,0.05333421755460569,35475,8758,0.19799697058757038,-0.08689865569102673,0.000413830023693042
model_a,tot_cur_bal,"[115996.50, 161860.50)",67296,0.08114257465138572,54744,12552,0.18651925820256776,-0.01297155213846124,1.3709046010255056e-05
model_a,tot_cur_bal,"[161860.50, 192149.50)",44194,0.05328719305966685,36485,7709,0.17443544372539257,0.06875342938253182,0.0002464484172281638
model_a,tot_cur_bal,"[192149.50, 225189.50)",41505,0.05004491442144799,34422,7083,0.17065413805565594,0.09523903771837694,0.00044036861667177756
model_a,tot_cur_bal,"[225189.50, 265639.50)",41768,0.05036202832321503,35271,6497,0.15554970312200728,0.20596125429739343,0.001999398169088032
model_a,tot_cur_bal,"[265639.50, 410896.50)",82630,0.09963164145631244,70467,12163,0.14719835410867724,0.27098664813158235,0.006702435081878632
model_a,tot_cur_bal,"[410896.50, inf)",41665,0.050237835426325275,36536,5129,0.12310092403696148,0.4776280571176399,0.00979878848967008
model_a,tot_cur_bal,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,tot_cur_bal,Missing,70276,0.08473572836722514,59197,11079,0.15764983778245772,0.19006013003376676,0.0028795936797270287
model_a,tot_cur_bal,,829355,1.0,676290,153065,0.18455908507213437,,0.03302268278030363
model_a,total_rev_hi_lim,"(-inf, 6227.50)",42065,0.05072013793851849,33015,9050,0.2151432307143706,-0.19156206442322654,0.001974505558932129
model_a,total_rev_hi_lim,"[6227.50, 19255.00)",264278,0.31865485829349316,210642,53636,0.20295295105911199,-0.11781978475957544,0.0045886386641770735
model_a,total_rev_hi_lim,"[19255.00, 25964.50)",115018,0.13868367586859667,92148,22870,0.19883844267853729,-0.09218933825620956,0.0012130725763814713
model_a,total_rev_hi_lim,"[25964.50, 30926.50)",66892,0.08065544911407058,54061,12831,0.19181665969024697,-0.04751038962836773,0.00018479315849336594
model_a,total_rev_hi_lim,"[30926.50, 34972.00)",43430,0.05236599526137782,35340,8090,0.18627676721160488,-0.011372574536776536,6.797090100011117e-06
model_a,total_rev_hi_lim,"[34972.00, 39802.50)",43182,0.05206696770381803,35317,7865,0.18213607521652542,0.016182587547835636,1.356555306701289e-05
model_a,total_rev_hi_lim,"[39802.50, 46422.00)",45114,0.054396488837711233,37474,7640,0.16934876091678858,0.10449044563996512,0.0005744576164766977
model_a,total_rev_hi_lim,"[46422.00, 55182.50)",41743,0.050331884416202954,34840,6903,0.16536904391155402,0.13305074190503707,0.0008539028643752049
